ticket_id,created_at,region,product_line,channel,priority,status,resolution_time_hours,csat_score,issue_category,issue_subcategory,customer_segment,agent_team,ticket_summary
TKT-1001,2026-02-21 18:07:00,North America,Payments,Phone,Medium,In Progress,24.4,1,Billing,Invoice Error,Enterprise,Team Beta,Billing issue reported via phone for payments
TKT-1002,2026-03-17 17:21:00,Europe,Payments,Email,Low,Closed,25.7,2,Login,Account Locked,SMB,Team Delta,Login issue reported via email for payments
TKT-1003,2026-01-03 12:50:00,North America,Payments,Email,High,Resolved,13.6,4,Performance,Slow Dashboard,Enterprise,Team Beta,Performance issue reported via email for payments
TKT-1004,2026-03-01 14:43:00,North America,Mobile App,Web Form,Medium,In Progress,10.7,4,Login,Password Reset,Consumer,Team Delta,Login issue reported via web form for mobile app
TKT-1005,2026-03-04 09:25:00,APAC,Payments,Chat,Medium,Closed,25.1,4,Shipping,Tracking Missing,Consumer,Team Delta,Shipping issue reported via chat for payments
TKT-1006,2026-03-23 12:23:00,APAC,Web Portal,Chat,Medium,Closed,18.7,2,Billing,Invoice Error,SMB,Team Gamma,Billing issue reported via chat for web portal
TKT-1007,2026-03-22 15:34:00,North America,Payments,Web Form,High,Resolved,9.5,3,Account,Profile Update,Consumer,Team Gamma,Account issue reported via web form for payments
TKT-1008,2026-03-03 15:36:00,APAC,Web Portal,Email,High,Closed,12.9,4,Account,Permissions,Consumer,Team Delta,Account issue reported via email for web portal
TKT-1009,2026-01-27 16:14:00,North America,Subscriptions,Email,Medium,Resolved,16.2,5,Login,Account Locked,Enterprise,Team Gamma,Login issue reported via email for subscriptions
TKT-1010,2026-01-15 18:28:00,APAC,Mobile App,Email,Low,Closed,34.0,1,Login,Password Reset,SMB,Team Beta,Login issue reported via email for mobile app
TKT-1011,2026-03-16 17:54:00,APAC,Payments,Chat,High,Resolved,13.9,3,Billing,Invoice Error,Enterprise,Team Delta,Billing issue reported via chat for payments
TKT-1012,2026-01-09 12:32:00,APAC,Subscriptions,Phone,Low,Closed,30.5,4,Shipping,Delay,Consumer,Team Gamma,Shipping issue reported via phone for subscriptions
TKT-1013,2026-02-08 09:02:00,APAC,Mobile App,Phone,Medium,Resolved,34.6,1,Billing,Card Declined,Enterprise,Team Alpha,Billing issue reported via phone for mobile app
TKT-1014,2026-02-01 13:31:00,Europe,Mobile App,Chat,Medium,Closed,14.3,3,Login,MFA Issue,SMB,Team Delta,Login issue reported via chat for mobile app
TKT-1015,2026-01-16 08:08:00,APAC,Mobile App,Phone,Medium,Resolved,25.0,2,Billing,Invoice Error,Enterprise,Team Beta,Billing issue reported via phone for mobile app
TKT-1016,2026-02-21 16:32:00,North America,Web Portal,Web Form,Medium,Resolved,27.2,3,Performance,Timeout,Consumer,Team Alpha,Performance issue reported via web form for web portal
TKT-1017,2026-01-16 17:47:00,Europe,Web Portal,Chat,Medium,Closed,26.7,3,Performance,App Crash,SMB,Team Delta,Performance issue reported via chat for web portal
TKT-1018,2026-01-24 13:55:00,LATAM,Subscriptions,Chat,High,Closed,4.5,5,Refund,Delayed Refund,Consumer,Team Beta,Refund issue reported via chat for subscriptions
TKT-1019,2026-01-18 09:01:00,Europe,Web Portal,Web Form,High,Closed,13.5,5,Account,Permissions,SMB,Team Delta,Account issue reported via web form for web portal
TKT-1020,2026-01-17 08:47:00,APAC,Mobile App,Chat,Low,Resolved,37.0,2,Shipping,Tracking Missing,SMB,Team Delta,Shipping issue reported via chat for mobile app
TKT-1021,2026-03-05 08:04:00,North America,Payments,Email,Low,Closed,33.9,3,Performance,Slow Dashboard,Consumer,Team Beta,Performance issue reported via email for payments
TKT-1022,2026-02-15 12:30:00,LATAM,Payments,Web Form,Critical,Closed,4.0,5,Refund,Delayed Refund,SMB,Team Delta,Refund issue reported via web form for payments
TKT-1023,2026-02-27 10:39:00,APAC,Payments,Email,Low,In Progress,22.6,5,Billing,Card Declined,Consumer,Team Gamma,Billing issue reported via email for payments
TKT-1024,2026-02-17 14:28:00,APAC,Payments,Phone,Medium,Open,18.0,5,Shipping,Wrong Address,SMB,Team Beta,Shipping issue reported via phone for payments
TKT-1025,2026-03-07 14:21:00,LATAM,Payments,Phone,Medium,Closed,20.6,3,Billing,Card Declined,Consumer,Team Beta,Billing issue reported via phone for payments
TKT-1026,2026-03-01 12:38:00,North America,Web Portal,Chat,Low,Resolved,47.2,3,Login,Password Reset,SMB,Team Gamma,Login issue reported via chat for web portal
TKT-1027,2026-02-27 14:25:00,Europe,Payments,Phone,Low,Resolved,22.6,3,Bug Report,Data Mismatch,Consumer,Team Alpha,Bug Report issue reported via phone for payments
TKT-1028,2026-02-17 16:39:00,North America,Web Portal,Phone,Critical,Resolved,4.3,4,Account,Profile Update,SMB,Team Alpha,Account issue reported via phone for web portal
TKT-1029,2026-03-10 08:29:00,Europe,Payments,Email,High,Resolved,6.1,4,Account,Permissions,SMB,Team Delta,Account issue reported via email for payments
TKT-1030,2026-01-10 13:04:00,North America,Mobile App,Chat,High,Closed,18.8,4,Billing,Card Declined,Enterprise,Team Delta,Billing issue reported via chat for mobile app
TKT-1031,2026-01-02 08:27:00,Europe,Web Portal,Web Form,Medium,Resolved,10.6,5,Bug Report,UI Bug,Consumer,Team Beta,Bug Report issue reported via web form for web portal
TKT-1032,2026-02-02 15:09:00,APAC,Subscriptions,Phone,Low,Resolved,28.5,3,Billing,Double Charge,Enterprise,Team Delta,Billing issue reported via phone for subscriptions
TKT-1033,2026-03-15 17:33:00,North America,Mobile App,Chat,Low,Resolved,38.2,4,Performance,Slow Dashboard,Consumer,Team Gamma,Performance issue reported via chat for mobile app
TKT-1034,2026-03-14 15:34:00,North America,Mobile App,Chat,Critical,In Progress,4.1,5,Shipping,Delay,SMB,Team Alpha,Shipping issue reported via chat for mobile app
TKT-1035,2026-01-17 08:19:00,North America,Mobile App,Email,High,Resolved,10.3,5,Shipping,Delay,Consumer,Team Gamma,Shipping issue reported via email for mobile app
TKT-1036,2026-01-12 16:51:00,North America,Mobile App,Phone,Medium,Resolved,16.7,5,Refund,Refund Denied,Consumer,Team Delta,Refund issue reported via phone for mobile app
TKT-1037,2026-01-18 16:09:00,Europe,Mobile App,Web Form,High,Resolved,12.7,3,Bug Report,UI Bug,Consumer,Team Delta,Bug Report issue reported via web form for mobile app
TKT-1038,2026-02-07 10:07:00,LATAM,Mobile App,Email,Medium,In Progress,26.2,4,Shipping,Delay,Consumer,Team Delta,Shipping issue reported via email for mobile app
TKT-1039,2026-03-08 09:27:00,APAC,Subscriptions,Web Form,Medium,Resolved,22.4,3,Refund,Delayed Refund,Consumer,Team Alpha,Refund issue reported via web form for subscriptions
TKT-1040,2026-01-25 15:32:00,North America,Payments,Web Form,Low,Resolved,30.6,2,Bug Report,Notification Failure,Enterprise,Team Gamma,Bug Report issue reported via web form for payments
TKT-1041,2026-01-14 08:52:00,North America,Mobile App,Chat,High,Resolved,9.1,3,Shipping,Delay,Consumer,Team Delta,Shipping issue reported via chat for mobile app
TKT-1042,2026-01-08 17:59:00,Europe,Subscriptions,Chat,Medium,Closed,20.2,3,Login,MFA Issue,Consumer,Team Delta,Login issue reported via chat for subscriptions
TKT-1043,2026-01-06 09:50:00,Europe,Payments,Web Form,High,Closed,4.9,5,Account,Permissions,SMB,Team Alpha,Account issue reported via web form for payments
TKT-1044,2026-03-18 08:33:00,North America,Payments,Email,Low,Resolved,31.7,4,Login,Password Reset,Enterprise,Team Beta,Login issue reported via email for payments
TKT-1045,2026-02-22 12:09:00,LATAM,Subscriptions,Web Form,High,In Progress,16.2,3,Billing,Invoice Error,SMB,Team Delta,Billing issue reported via web form for subscriptions
TKT-1046,2026-01-26 17:33:00,North America,Mobile App,Web Form,Medium,Closed,33.2,3,Refund,Partial Refund,SMB,Team Delta,Refund issue reported via web form for mobile app
TKT-1047,2026-02-07 09:37:00,APAC,Subscriptions,Phone,Medium,Resolved,14.1,5,Account,Plan Change,Consumer,Team Delta,Account issue reported via phone for subscriptions
TKT-1048,2026-02-20 08:04:00,Europe,Mobile App,Phone,High,Resolved,9.4,4,Performance,Slow Dashboard,Consumer,Team Alpha,Performance issue reported via phone for mobile app
TKT-1049,2026-01-23 14:15:00,North America,Web Portal,Email,Low,In Progress,25.9,3,Login,Password Reset,Consumer,Team Delta,Login issue reported via email for web portal
TKT-1050,2026-02-20 10:20:00,Europe,Payments,Email,Low,Open,21.5,4,Billing,Invoice Error,Enterprise,Team Alpha,Billing issue reported via email for payments
TKT-1051,2026-02-16 16:21:00,North America,Mobile App,Web Form,Low,Resolved,29.1,1,Bug Report,UI Bug,Consumer,Team Beta,Bug Report issue reported via web form for mobile app
TKT-1052,2026-02-25 13:13:00,North America,Payments,Web Form,Medium,In Progress,12.1,4,Shipping,Tracking Missing,SMB,Team Gamma,Shipping issue reported via web form for payments
